ref,name,city
247,Cygański Las,Bielsko Biała
52,Bystrzańska Olszówka,Bielsko Biała
75,Długa Zajezdnia MZK,Bielsko Biała
24,Armii Krajowej Szpital,Bielsko Biała
254,Partyzantów Folwark,Bielsko Biała
250,Partyzantów Apena,Bielsko Biała
257,Plac Mickiewicza,Bielsko Biała
261,Plac Żwirki i Wigury,Bielsko Biała
3,Hotel Prezydent,Bielsko Biała
2,3 Maja Dworzec,Bielsko Biała
265,Piastowska Lubertowicza,Bielsko Biała
268,Piastowska Wita Stwosza,Bielsko Biała
267,Piastowska Sobieskiego,Bielsko Biała
59,Cieszyńska Hulanka,Bielsko Biała
318,Szarotki Cieszyńska,Bielsko Biała
320,Szarotki SAM,Bielsko Biała

33,Osiedle Beskidzkie,Bielsko Biała
319,Szarotki SAM,Bielsko Biała
317,Szarotki Cieszyńska,Bielsko Biała
58,Cieszyńska Hulanka,Bielsko Biała
266,Piastowska Sobieskiego,Bielsko Biała
269,Piastowska Wyspiańskiego,Bielsko Biała
264,Piastowska Dworzec,Bielsko Biała
4,Hotel Prezydent,Bielsko Biała
371,Plac Żwirki i Wigury,Bielsko Biała
258,Plac Mickiewicza,Bielsko Biała
251,Partyzantów Apena,Bielsko Biała
255,Partyzantów Folwark,Bielsko Biała
44,Boboli Szpital,Bielsko Biała
74,Długa Zajezdnia MZK,Bielsko Biała
248,Olszówka,Bielsko Biała

56,Mikuszowice Śląskie,Bielsko Biała
55,Bystrzańska Willowa,Bielsko Biała
51,Bystrzańska Bewelana,Bielsko Biała
252,Partyzantów Belos,Bielsko Biała
63,Cieszyńska Osiedle Wojska Polskiego,Bielsko Biała
65,Cieszyńska Lotnisko,Bielsko Biała
66,Wapienica Centrum,Bielsko Biała
228,Międzyrzecka Przejazd,Bielsko Biała
227,Międzyrzecka Osiedle,Bielsko Biała

316,Wapienica Strażacka,Bielsko Biała
229,Międzyrzecka Strażacka,Bielsko Biała
226,Międzyrzecka Osiedle,Bielsko Biała
78,Dworcowa Poczta,Bielsko Biała
285,Wapienica Regera,Bielsko Biała
64,Cieszyńska Lotnisko,Bielsko Biała
62,Cieszyńska Os. Wojska Polskiego,Bielsko Biała
253,Partyzantów Belos,Bielsko Biała
256,Partyzantów Krepol,Bielsko Biała
50,Bystrzańska Bewelana,Bielsko Biała
54,Bystrzańska Willowa,Bielsko Biała

341,Warszawska Dworzec,Bielsko Biała
335,Wałowa,Bielsko Biała
275,Piłsudskiego,Bielsko Biała
209,Lwowska Krakowska,Bielsko Biała
392,Żywiecka Stojałowskiego,Bielsko Biała
389,Żywiecka Osiedle Grunwaldzkie,Bielsko Biała
383,Żywiecka Hotel,Bielsko Biała
385,Żywiecka Leszczyny,Bielsko Biała
95,Górska Bulwary,Bielsko Biała
99,Górska Partyzant,Bielsko Biała
100,Górska Piekarnia,Bielsko Biała
97,Górska Kościół,Bielsko Biała

102,Straconka Leśniczówka,Bielsko Biała
96,Górska Kościół,Bielsko Biała
101,Górska Piekarnia,Bielsko Biała
98,Górska Partyzant,Bielsko Biała
94,Górska Bulwary,Bielsko Biała
384,Żywiecka Leszczyny,Bielsko Biała
382,Żywiecka Hotel,Bielsko Biała
388,Żywiecka Osiedle Grunwaldzkie,Bielsko Biała
428,Żywiecka Stadion Miejski,Bielsko Biała
208,Lwowska Krakowska,Bielsko Biała
274,Piłsudskiego,Bielsko Biała
334,Wałowa,Bielsko Biała

321,Mikuszowice Błonia ATH,Bielsko Biała
323,Szeroka Bystrzańska,Bielsko Biała
259,Plac Mickiewicza Łącznik,Bielsko Biała
263,PCK Trasa W-Z,Bielsko Biała
76,Dmowskiego Urząd Miejski,Bielsko Biała
368,Wyzwolenia Szkolna,Bielsko Biała
249,Paderewskiego,Bielsko Biała
156,Komorowicka Bielsbud,Bielsko Biała
166,Komorowicka Przejazd,Bielsko Biała
67,Czerwona Komorowicka,Bielsko Biała
69,Czerwona Krausa,Bielsko Biała
239,Niepodległości Czerwona,Bielsko Biała
360,Wyzwolenia Niepodległości,Bielsko Biała
370,Wyzwolenia Witosa,Bielsko Biała
364,Wyzwolenia Poczta,Bielsko Biała

354,Hałcnów Kościół,Bielsko Biała
363,Wyzwolenia Poczta,Bielsko Biała
369,Wyzwolenia Witosa,Bielsko Biała
240,Niepodległości Wyzwolenia,Bielsko Biała
70,Czerwona Niepodległości,Bielsko Biała
68,Czerwona Krausa,Bielsko Biała
157,Komorowicka Czerwona,Bielsko Biała
165,Komorowicka Przejazd,Bielsko Biała
155,Komorowicka Bielsbud,Bielsko Biała
167,Komorowicka Szkoła,Bielsko Biała
77,Dmowskiego Urząd Miejski,Bielsko Biała
262,PCK Trasa W-Z,Bielsko Biała
72,Długa Bystrzańska,Bielsko Biała
322,Szeroka Bystrzańska,Bielsko Biała

206,Lipnik Dolny,Bielsko Biała
201,Lipnicka Mostek,Bielsko Biała
203,Lipnicka Złote Łany,Bielsko Biała
200,Lipnicka Akademii Umiejętności,Bielsko Biała
342,Warszawska Dworzec,Bielsko Biała
195,Kwiatkowskiego Warszawska,Bielsko Biała
196,Kwiatkowskiego Most,Bielsko Biała

193,Kwiatkowskiego Komorowicka,Bielsko Biała
194,Kwiatkowskiego Warszawska,Bielsko Biała
205,Lipnicka Żywiecka,Bielsko Biała
199,Lipnicka Akademii Umiejętności,Bielsko Biała
204,Lipnicka Złote Łany,Bielsko Biała
202,Lipnicka Mostek,Bielsko Biała

222,Michałowicza Czarnieckiego,Bielsko Biała
224,Michałowicza Reja,Bielsko Biała
309,Osiedle Kopernika,Bielsko Biała
311,Osiedle Wojska Polskiego,Bielsko Biała
327,Tańskiego Skrzydlewskiego,Bielsko Biała

324,Osiedle Polskich Skrzydeł,Bielsko Biała
326,Tańskiego Skrzydlewskiego,Bielsko Biała
310,Osiedle Wojska Polskiego,Bielsko Biała
132,Osiedle Kopernika,Bielsko Biała
34,Osiedle Beskidzkie,Bielsko Biała
225,Michałowicza SAM,Bielsko Biała
223,Michałowicza Czarnieckiego,Bielsko Biała

329,Osiedle Langiewicza,Bielsko Biała
330,Tuwima Osiedle Langiewicza,Bielsko Biała
332,Urodzajna Osiedle Langiewicza,Bielsko Biała
215,Łagodna Złotych Kłosów,Bielsko Biała
213,Łagodna Szkoła,Bielsko Biała
135,Osiedle Złote Łany,Bielsko Biała
133,Jutrzenki SAM,Bielsko Biała
113,Grunwaldzka Szpital,Bielsko Biała
171,Konopnickiej Szpital,Bielsko Biała
169,Konopnickiej Pawilon,Bielsko Biała

168,Konopnickiej Pawilon,Bielsko Biała
170,Konopnickiej Szpital,Bielsko Biała
112,Grunwaldzka Szpital,Bielsko Biała
198,Lenartowicza,Bielsko Biała
134,Jutrzenki SAM,Bielsko Biała
136,Osiedle Złote Łany,Bielsko Biała
214,Łagodna Szkoła,Bielsko Biała
216,Łagodna Złotych Kłosów,Bielsko Biała
