busA,line,busB
247,1,52
52,1,75
75,1,24
24,1,254
254,1,250
250,1,257
257,1,261
261,1,3
3,1,2
2,1,265
265,1,268
268,1,267
267,1,59
59,1,318
318,1,320

33,1,319
319,1,317
317,1,58
58,1,266
266,1,269
269,1,264
264,1,4
4,1,371
371,1,258
258,1,251
251,1,255
255,1,44
44,1,74
74,1,248

56,10,55
55,10,51
51,10,252
252,10,254
59,10,63
63,10,65
65,10,66
66,10,228
228,10,227

316,10,229
229,10,226
226,10,78
78,10,285
285,10,64
64,10,62
62,10,58
255,10,253
253,10,256
256,10,50
50,10,54

341,11,335
335,11,275
275,11,209
209,11,392
392,11,389
389,11,383
383,11,385
385,11,95
95,11,99
99,11,100
100,11,97

102,11,96
96,11,101
101,11,98
98,11,94
94,11,384
384,11,382
382,11,388
388,11,428
428,11,208
208,11,274
274,11,334
334,11,2

321,12,323
323,12,51
51,12,52
250,12,259
259,12,263
263,12,76
76,12,368
368,12,249
249,12,156
156,12,166
166,12,67
67,12,69
69,12,239
239,12,360
360,12,370
370,12,364

354,12,363
363,12,369
369,12,240
240,12,70
70,12,68
68,12,157
157,12,165
165,12,155
155,12,167
167,12,77
77,12,262
262,12,258
74,12,72
72,12,50
50,12,322

206,13,201
201,13,203
203,13,200
200,13,208
2,13,342
342,13,195
195,13,196
196,13,67

68,13,193
193,13,194
194,13,341
209,13,205
205,13,199
199,13,204
204,13,202

259,14,222
222,14,224
224,14,33
317,14,309
309,14,311
311,14,327

324,14,326
326,14,310
310,14,132
132,14,318
320,14,34
34,14,225
225,14,223
223,14,258

329,15,330
330,15,332
332,15,215
215,15,213
213,15,135
135,15,133
133,15,388
265,15,113
113,15,171
171,15,169
169,15,59
59,15,309

132,15,58
58,15,168
168,15,170
170,15,112
112,15,269
264,15,335
389,15,198
198,15,134
134,15,136
136,15,214
214,15,216
216,15,333
333,15,331

341,16,265
66,16,129
129,16,372

328,16,373
373,16,375
375,16,131
131,16,130
130,16,57
57,16,64

276,17,85
85,17,275
275,17,156
156,17,271
271,17,273
273,17,360
370,17,349

347,17,348
348,17,369
369,17,357
357,17,272
272,17,270
270,17,155
155,17,274

133,18,383
383,18,46
46,18,25
25,18,86
86,18,88
88,18,92
92,18,90
90,18,146
146,18,140
140,18,142
142,18,144
144,18,250
265,18,207
207,18,234
234,18,236
236,18,238
238,18,306

305,18,237
237,18,235
235,18,233
233,18,32
