busA,line,busB


254,10,250
250,10,257
257,10,261
261,10,3
3,10,2
2,10,265
265,10,268
268,10,267
267,10,59

58,10,266
266,10,269
269,10,264
264,10,4
4,10,371
371,10,258
258,10,251
251,10,255



52,12,75
75,12,24
24,12,254
254,12,250

258,12,251
251,12,255
255,12,44
44,12,74

208,13,274
274,13,334
334,13,2
67,13,69
69,13,239
239,13,360
360,13,370
370,13,364

354,13,363
363,13,369
369,13,240
240,13,70
70,13,68
341,13,335
335,13,275
275,13,209

247,14,52
52,14,75
75,14,24
24,14,254
254,14,250
250,14,259
33,14,319
319,14,317

318,14,320
258,14,251
251,14,255
255,14,44
44,14,74
74,14,248

388,15,428
428,15,208
208,15,274
274,15,334
334,15,2
2,15,265
309,15,311
311,15,327

324,15,326
326,15,310
310,15,132
269,15,264
335,15,275
275,15,209
209,15,392
392,15,389

265,16,268
268,16,267
267,16,59
59,16,63
63,16,65
65,16,66

64,16,62
62,16,58
58,16,266
266,16,269
269,16,264

360,17,370


135,18,133
250,18,257
257,18,261
261,18,3
3,18,2
2,18,265

269,18,264
264,18,4
4,18,371
371,18,258
258,18,251
198,18,134

135,19,133
133,19,388
388,19,428
428,19,208
272,19,270

157,19,165
209,19,392
392,19,389
389,19,198
198,19,134

384,2,382
382,2,388
3,2,2
2,2,265
265,2,268
268,2,267
267,2,59

132,2,58
58,2,266
266,2,269
269,2,264
264,2,4
389,2,383
383,2,385

135,20,133
133,20,388
388,20,262
222,20,224
224,20,33
33,20,319
319,20,317
63,20,65
65,20,66
66,20,228
228,20,227

316,20,229
229,20,226
226,20,78
78,20,285
285,20,64
64,20,62
318,20,320
320,20,34
34,20,225
225,20,223
263,20,389
389,20,198
198,20,134

329,21,330
330,21,332
332,21,215
215,21,213
213,21,135
135,21,133
133,21,383
383,21,46
253,21,256
256,21,50
50,21,322
321,21,323
323,21,51
51,21,52
52,21,75
33,21,319
319,21,317
317,21,309
309,21,311
311,21,327

324,21,326
326,21,310
310,21,132
132,21,318
318,21,320
320,21,34
74,21,72
72,21,50
50,21,322
322,21,321
321,21,323
323,21,51
51,21,252
47,21,382
382,21,198
198,21,134
134,21,136
136,21,214
214,21,216
216,21,333
333,21,331

329,22,330
330,22,332
332,22,215
215,22,213
213,22,135
135,22,133
133,22,388
388,22,428
3,22,2
2,22,342

392,22,389
389,22,198
198,22,134
134,22,136
136,22,214
214,22,216
216,22,333
333,22,331

30,23,24
24,23,11
11,23,19
19,23,5
5,23,33
33,23,319
319,23,317
317,23,58
58,23,168
168,23,170
170,23,112
112,23,269
269,23,264
264,23,335
335,23,275
275,23,209
209,23,392
392,23,389
389,23,383
214,23,216
216,23,333
333,23,331

329,23,330
330,23,332
332,23,215
215,23,213
382,23,388
388,23,428
428,23,208
208,23,274
274,23,334
334,23,2
2,23,265
265,23,113
113,23,171
171,23,169
169,23,59
59,23,318
318,23,320
320,23,34
34,23,6
6,23,12
12,23,25

321,24,323
323,24,51
51,24,252
252,24,254
254,24,250
250,24,257
257,24,261
261,24,3
3,24,2
2,24,265
265,24,268

266,24,269
269,24,264
264,24,4
4,24,371
371,24,258
